value,depth
1,5
2,4
3,3
4,2
5,6
6,5
7,7
8,6
9,4
10,7
11,8
12,6
13,5
14,3
15,7
16,8
17,10
18,9
19,11
20,10
21,6
22,5
23,7
24,8
25,6
26,7
27,4
28,8
29,9
30,7
31,6
32,5
33,1
34,5
35,4
36,6
37,5
38,3
39,10
40,11
41,9
42,10
43,8
44,9
45,7
46,9
47,10
48,11
49,8
50,10
51,11
52,12
53,9
54,6
55,10
56,12
57,11
58,12
59,9
60,11
61,10
62,12
63,11
64,13
65,14
66,12
67,14
68,13
69,14
70,8
71,10
72,9
73,10
74,11
75,12
76,13
77,7
78,8
79,9
80,10
81,5
82,7
83,9
84,10
85,8
86,9
87,6
88,7
89,4
90,2
91,4
92,5
93,3
94,4
95,0
96,2
97,3
98,1
99,2
100,3
