value,depth,song position
   1       Post Malone    Sunflower SpiderMan: Into the SpiderVerse     1506       883369738,11,1
   2       Juice WRLD     Lucid Dreams                                  1673       864832399,10,2
   3       Lil Uzi Vert   XO TOUR Llif3                                 1853       781153024,11,3
   4       J. Cole        No Role Modelz                                2547       734857487,9,4
   5       Post Malone    rockstar                                      1223       718865961,11,5
   6       Travis Scott   goosebumps                                    1995       672972704,10,6
   7       The Weeknd     Blinding Lights                               1100       644287953,11,7
   8       XXXTENTACION   Jocelyn Flores                                1673       624457164,8,8
   9       XXXTENTACION   SAD!                                          1217       619879245,11,9
   10      Juice WRLD     All Girls Are The Same                        1681       613872384,10,10
   11      Kendrick Lamar HUMBLE.                                       1175       606305588,11,11
   12      Post Malone    Circles                                       1172       598521764,9,12
   13      Travis Scott   SICKO MODE                                    1046       586638599,11,13
   14      Lil Baby       Drip Too Hard (Lil Baby & Gunna)              1453       583443174,10,14
   15      Post Malone    Congratulations                               1215       546036924,11,15
   16      Post Malone    I Fall Apart                                  1278       543144261,7,16
   17      Glass Animals  Heat Waves                                    763        540754791,11,17
   18      Drake          God's Plan                                    634        534994242,10,18
   19      Roddy Ricch    The Box                                       650        504210201,11,19
   20      J. Cole        MIDDLE CHILD                                  1119       481985952,9,20
   21      XXXTENTACION   Fuck Love                                     1406       473417295,11,21
   22      Post Malone    Better Now                                    862        463551468,10,22
   23      Drake          One Dance                                     772        454267392,11,23
   24      Olivia Rodrigo good 4 u                                      547        454100610,8,24
   25      Juice WRLD     Robbery                                       1086       443773199,11,25
   26      Billie Eilish  lovely                                        1250       437911914,10,26
   27      Joji           SLOW DANCING IN THE DARK                      1496       437333177,11,27
   28      XXXTENTACION   Moonlight                                     923        431568186,9,28
   29      Offset         Ric Flair Drip (& Metro Boomin)               1065       427614856,11,29
   30      The Kid LAROI  Stay                                          531        426712325,10,30
   31      Lewis Capaldi  Someone You Loved                             952        410725370,11,31
   32      Harry Styles   Watermelon Sugar                              988        409073262,6,32
   33      Post Malone    Wow.                                          699        405812776,11,33
   34      Khalid         Location                                      999        403645089,10,34
   35      The NeighbourhoodSweater Weather                               1050       400804036,11,35
   36      Lil Baby       Yes Indeed                                    970        400193604,9,36
   37      The ChainsmokersCloser                                        696        397735618,11,37
   38      Post Malone    Psycho                                        607        396525691,10,38
   39      The Weeknd     The Hills                                     1243       392023505,11,39
   40      Dua Lipa       Levitating                                    738        387860108,8,40
   41      Billie Eilish  bad guy                                       652        385813103,11,41
   42      Morgan Wallen  Whiskey Glasses                               1324       385368118,10,42
   43      Olivia Rodrigo drivers license                               613        381085710,11,43
   44      Doja Cat       Kiss Me More                                  550        376965422,9,44
   45      DaBaby         ROCKSTAR                                      549        373388283,11,45
   46      Lil Nas X      INDUSTRY BABY                                 472        373383279,10,46
   47      The Weeknd     Starboy                                       785        368997138,11,47
   48      Childish GambinoRedbone                                       1075       363834232,7,48
   49      Lil Mosey      Blueberry Faygo                               603        355016723,11,49
   50      Meek Mill      Going Bad                                     638        349994217,10,50
   51      Khalid         Young Dumb & Broke                            904        349563888,11,51
   52      Harry Styles   As It Was                                     273        348668080,9,52
   53      Ed Sheeran     Shape of You                                  618        348283656,11,53
   54      Ariana Grande  7 rings                                       559        332694161,10,54
   55      Billie Eilish  when the party's over                         787        331192577,11,55
   56      Kendrick Lamar LOVE. FEAT. ZACARI.                           814        329243971,8,56
   57      Cardi B        I Like It                                     548        329059657,11,57
   58      Lizzo          Truth Hurts                                   535        321459791,10,58
   59      Halsey         Without Me                                    617        320826979,11,59
   60      Logic          18002738255                                   590        320245347,9,60
   61      Bebe Rexha     Meant to Be                                   801        318478528,11,61
   62      BlocBoy JB     Look Alive                                    495        316629241,10,62
   63      Marshmello     Happier                                       650        316018345,11,63
   64      James Arthur   Say You Won't Let Go                          1083       315132103,5,64
   65      Arizona Zervas ROXANNE                                       536        314843202,11,65
   66      24kGoldn       Mood                                          547        314504480,10,66
   67      Drake          Nice For What                                 467        313324663,11,67
   68      blackbear      hot girl bummer                               742        312411378,9,68
   69      Mariah Carey   All I Want for Christmas Is You               426        312323662,11,69
   70      benny blanco   Eastside                                      672        308890413,10,70
   71      Juice WRLD     Bandit                                        670        307048160,11,71
   72      Future         Life Is Good                                  601        305783118,8,72
   73      YNW Melly      Murder On My Mind                             771        305306060,11,73
   74      Olivia Rodrigo deja vu                                       562        304638969,10,74
   75      Polo G         RAPSTAR                                       519        299470033,11,75
   76      Luke Combs     Beautiful Crazy                               1123       298483119,9,76
   77      21 Savage      Bank Account                                  553        298320136,11,77
