value,depth
9,91
9,0
9,0
9,0
9,0
89,8
89,0
89,0
89,0
89,0
11,42
11,0
11,0
11,0
11,0
40,15
40,0
40,0
40,0
40,0
74,4
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
1,11
1,0
1,0
1,0
1,0
54,6
54,0
54,0
54,0
54,0
2,7
2,0
2,0
2,0
2,0
53,6
53,0
53,0
53,0
53,0
3,6
3,0
3,0
3,0
3,0
88,6
88,0
88,0
88,0
88,0
32,10
32,0
32,0
32,0
32,0
66,7
66,0
66,0
66,0
66,0
93,7
93,0
93,0
93,0
93,0
24,9
24,0
24,0
24,0
24,0
41,8
41,0
41,0
41,0
41,0
31,4
31,0
31,0
31,0
31,0
10,5
10,0
10,0
10,0
10,0
98,6
98,0
98,0
98,0
98,0
12,8
12,0
12,0
12,0
12,0
46,8
46,0
46,0
46,0
46,0
77,9
77,0
77,0
77,0
77,0
77,0
77,0
77,0
77,0
77,0
76,4
76,0
76,0
76,0
76,0
16,8
16,0
16,0
16,0
16,0
46,1
46,0
46,0
46,0
46,0
62,6
62,0
62,0
62,0
62,0
37,10
37,0
37,0
37,0
37,0
45,5
45,0
45,0
45,0
45,0
42,4
42,0
42,0
42,0
42,0
41,2
41,0
41,0
41,0
41,0
83,13
83,0
83,0
83,0
83,0
9,8
9,0
9,0
9,0
9,0
74,8
74,0
74,0
74,0
74,0
67,7
67,0
67,0
67,0
67,0
82,5
82,0
82,0
82,0
82,0
5,9
5,0
5,0
5,0
5,0
40,8
40,0
40,0
40,0
40,0
98,5
98,0
98,0
98,0
98,0
55,12
55,0
55,0
55,0
55,0
42,4
42,0
42,0
42,0
42,0
65,8
65,0
65,0
65,0
65,0
26,12
26,0
26,0
26,0
26,0
9,1
9,0
9,0
9,0
9,0
32,7
32,0
32,0
32,0
32,0
48,10
48,0
48,0
48,0
48,0
58,5
58,0
58,0
58,0
58,0
39,7
39,0
39,0
39,0
39,0
44,6
44,0
44,0
44,0
44,0
9,3
9,0
9,0
9,0
9,0
75,10
75,0
75,0
75,0
75,0
89,6
89,0
89,0
89,0
89,0
90,4
90,0
90,0
90,0
90,0
85,7
85,0
85,0
85,0
85,0
13,11
13,0
13,0
13,0
13,0
98,3
98,0
98,0
98,0
98,0
47,11
47,0
47,0
47,0
47,0
87,8
87,0
87,0
87,0
87,0
43,9
43,0
43,0
43,0
43,0
55,7
55,0
55,0
55,0
55,0
47,2
47,0
47,0
47,0
47,0
53,4
53,0
53,0
53,0
53,0
57,6
57,0
57,0
57,0
57,0
94,8
94,0
94,0
94,0
94,0
36,13
36,0
36,0
36,0
36,0
44,6
44,0
44,0
44,0
44,0
13,3
13,0
13,0
13,0
13,0
9,1
9,0
9,0
9,0
9,0
34,6
34,0
34,0
34,0
34,0
27,7
27,0
27,0
27,0
27,0
21,8
21,0
21,0
21,0
21,0
82,12
82,0
82,0
82,0
82,0
57,4
57,0
57,0
57,0
57,0
4,7
4,0
4,0
4,0
4,0
5,4
5,0
5,0
5,0
5,0
68,7
68,0
68,0
68,0
68,0
53,7
53,0
53,0
53,0
53,0
51,8
51,0
51,0
51,0
51,0
18,8
18,0
18,0
18,0
18,0
98,6
98,0
98,0
98,0
98,0
91,8
91,0
91,0
91,0
91,0
26,5
26,0
26,0
26,0
26,0
16,4
16,0
16,0
16,0
16,0
61,12
61,0
61,0
61,0
61,0
27,6
27,0
27,0
27,0
27,0
53,4
53,0
53,0
53,0
53,0
35,6
35,0
35,0
35,0
35,0
93,7
93,0
93,0
93,0
93,0
72,10
72,0
72,0
72,0
72,0
93,1
93,0
93,0
93,0
93,0
50,9
50,0
50,0
50,0
50,0
1,10
1,0
1,0
1,0
1,0
92,6
92,0
92,0
92,0
92,0
21,6
21,0
21,0
21,0
21,0
93,3
93,0
93,0
93,0
93,0
81,12
81,0
81,0
81,0
81,0
40,10
40,0
40,0
40,0
40,0
62,8
62,0
62,0
62,0
62,0
13,5
13,0
13,0
13,0
13,0
