Position,Artist Name,Song Name,Days,Total Streams
1,Post Malone,Sunflower SpiderMan: Into the SpiderVerse,1506,883369738
2,Juice WRLD,Lucid Dreams,1673,864832399
3,Lil Uzi Vert,XO TOUR Llif3,1853,781153024
4,J. Cole,No Role Modelz,2547,734857487
5,Post Malone,rockstar,1223,718865961
6,Travis Scott,goosebumps,1995,672972704
7,The Weeknd,Blinding Lights,1100,644287953
8,XXXTENTACION,Jocelyn Flores,1673,624457164
9,XXXTENTACION,SAD!,1217,619879245
10,Juice WRLD,All Girls Are The Same,1681,613872384
11,Kendrick Lamar,HUMBLE.,1175,606305588
12,Post Malone,Circles,1172,598521764
13,Travis Scott,SICKO MODE,1046,586638599
14,Lil Baby,Drip Too Hard (Lil Baby & Gunna),1453,583443174
15,Post Malone,Congratulations,1215,546036924
16,Post Malone,I Fall Apart,1278,543144261
17,Glass Animals,Heat Waves,763,540754791
18,Drake,God's Plan,634,534994242
19,Roddy Ricch,The Box,650,504210201
20,J. Cole,MIDDLE CHILD,1119,481985952
21,XXXTENTACION,Fuck Love,1406,473417295
22,Post Malone,Better Now,862,463551468
23,Drake,One Dance,772,454267392
24,Olivia Rodrigo,good 4 u,547,454100610
25,Juice WRLD,Robbery,1086,443773199
26,Billie Eilish,lovely,1250,437911914
27,Joji,SLOW DANCING IN THE DARK,1496,437333177
28,XXXTENTACION,Moonlight,923,431568186
29,Offset,Ric Flair Drip (& Metro Boomin),1065,427614856
30,The Kid LAROI,Stay,531,426712325
31,Lewis Capaldi,Someone You Loved,952,410725370
32,Harry Styles,Watermelon Sugar,988,409073262
33,Post Malone,Wow.,699,405812776
34,Khalid,Location,999,403645089
35,The Neighbourhood,Sweater Weather,1050,400804036
36,Lil Baby,Yes Indeed,970,400193604
37,The Chainsmokers,Closer,696,397735618
38,Post Malone,Psycho,607,396525691
39,The Weeknd,The Hills,1243,392023505
40,Dua Lipa,Levitating,738,387860108
41,Billie Eilish,bad guy,652,385813103
42,Morgan Wallen,Whiskey Glasses,1324,385368118
43,Olivia Rodrigo,drivers license,613,381085710
44,Doja Cat,Kiss Me More,550,376965422
45,DaBaby,ROCKSTAR,549,373388283
46,Lil Nas X,INDUSTRY BABY,472,373383279
47,The Weeknd,Starboy,785,368997138
48,Childish Gambino,Redbone,1075,363834232
49,Lil Mosey,Blueberry Faygo,603,355016723
50,Meek Mill,Going Bad,638,349994217
51,Khalid,Young Dumb & Broke,904,349563888
52,Harry Styles,As It Was,273,348668080
53,Ed Sheeran,Shape of You,618,348283656
54,Ariana Grande,7 rings,559,332694161
55,Billie Eilish,when the party's over,787,331192577
56,Kendrick Lamar,LOVE. FEAT. ZACARI.,814,329243971
57,Cardi B,I Like It,548,329059657
58,Lizzo,Truth Hurts,535,321459791
59,Halsey,Without Me,617,320826979
60,Logic,18002738255,590,320245347
61,Bebe Rexha,Meant to Be,801,318478528
62,BlocBoy JB,Look Alive,495,316629241
63,Marshmello,Happier,650,316018345
64,James Arthur,Say You Won't Let Go,1083,315132103
65,Arizona Zervas,ROXANNE,536,314843202
66,24kGoldn,Mood,547,314504480
67,Drake,Nice For What,467,313324663
68,blackbear,hot girl bummer,742,312411378
69,Mariah Carey,All I Want for Christmas Is You,426,312323662
70,benny blanco,Eastside,672,308890413
71,Juice WRLD,Bandit,670,307048160
72,Future,Life Is Good,601,305783118
73,YNW Melly,Murder On My Mind,771,305306060
74,Olivia Rodrigo,deja vu,562,304638969
75,Polo G,RAPSTAR,519,299470033
76,Luke Combs,Beautiful Crazy,1123,298483119
77,21 Savage,Bank Account,553,298320136
78,Drake,Wants and Needs,645,297154583
79,Cardi B,WAP,417,296670667
80,Travis Scott,HIGHEST IN THE ROOM,602,295198938
81,Lil Tecca,Ransom,465,292578295
82,Sheck Wes,Mo Bamba,421,289673118
83,Post Malone,White Iverson,1069,288882157
84,Drake,In My Feelings,348,288633458
85,Lil Nas X,MONTERO (Call Me By Your Name),410,288187067
86,French Montana,Unforgettable,501,287042302
87,Drake,Nonstop,478,286786239
88,Post Malone,Candy Paint,717,286217712
89,DRAM,Broccoli,646,285106532
90,Dua Lipa,Don't Start Now,646,284754771
91,Juice WRLD,Come & Go,644,280531842
92,Juice WRLD,Wishing Well,625,277821416
93,DaBaby,BOP,622,277705797
94,Lil Uzi Vert,20 Min,1012,277454899
95,Travis Scott,BUTTERFLY EFFECT,682,276763296
96,Brenda Lee,Rockin' Around The Christmas Tree,340,276529912
97,Drake,Knife Talk,471,275693546
98,Pop Smoke,For The Night,512,274720487
99,Drake,Fake Love,525,274318587
100,Internet Money,Lemonade,517,273391855
101,Tyga,Taste,486,272293130
102,Future,Mask Off,441,271944410
103,Olivia Rodrigo,traitor,522,271379624
104,DaBaby,Suge,516,270915921
105,SZA,Good Days,604,270125295
106,Doja Cat,Need To Know,460,268475081
